name;platform;r-date;score;user score;developer;genre;players;critics;users;1 Player;1-2 Player;No Online Multiplayer;MP up to 32;MP up to 30;MP up to 16;No info;1-4 Player
Madden NFL 21;PlayStation4;25.08.2020;63;0.2;EASports;Sports,Team,Football,Sim;Up to 6 ;29;5363;0;0;0;0;0;0;0;0
Madden NFL 21;XboxOne;25.08.2020;69;0.4;EASports;Sports,Team,Football,Sim;Up to 6 ;20;994;0;0;0;0;0;0;0;0
Tom Clancy's The Division 2: Warlords of New York;PC;03.03.2020;79;0.5;MassiveEntertainment;Action,Shooter,Third-Person,Tactical;No info;19;1498;0;0;0;0;0;0;1;0
Warcraft III: Reforged;PC;28.01.2020;59;0.6;BlizzardEntertainment;Strategy,Real-Time,General;Online Multiplayer;46;30532;0;0;0;0;0;0;0;0
NBA 2K21;PlayStation4;04.09.2020;68;0.7;VisualConcepts;Sports,Team,Basketball,Arcade;Up to 10 ;49;446;0;0;0;0;0;0;0;0
FIFA 21;PlayStation4;06.10.2020;72;0.8;ElectronicArts;Sports,Team,Soccer,Sim;Up to 22 ;57;1153;0;0;0;0;0;0;0;0
FIFA 20: Legacy Edition;Switch;27.09.2019;43;0.9;ElectronicArts;Sports,Team,Soccer,Sim;Up to 22 ;9;868;0;0;0;0;0;0;0;0
Tom Clancy's The Division 2: Warlords of New York;XboxOne;03.03.2020;82;1.1;MassiveEntertainment;Action,Shooter,Third-Person,Tactical;No info;9;172;0;0;0;0;0;0;1;0
FIFA 21;XboxOne;06.10.2020;77;1.1;ElectronicArts;Sports,Team,Soccer,Sim;Up to 22 ;18;229;0;0;0;0;0;0;0;0
Tom Clancy's The Division 2: Warlords of New York;PlayStation4;03.03.2020;74;1.1;MassiveEntertainment;Action,Shooter,Third-Person,Tactical;No info;13;442;0;0;0;0;0;0;1;0
The Sims 4: Star Wars - Journey to Batuu;PC;08.09.2020;70;1.1;Maxis;Simulation,Virtual,Virtual Life;No info;14;42;0;0;0;0;0;0;1;0
WWE 2K20;XboxOne;22.10.2019;45;1.1;VisualConcepts;Sports,Individual,Combat,Wrestling;Up to 6 ;20;117;0;0;0;0;0;0;0;0
FIFA 20;PlayStation4;24.09.2019;79;1.2;ElectronicArts;Sports,Team,Soccer,Sim;Up to 22 ;62;3420;0;0;0;0;0;0;0;0
